iter,turns,policy,value,entropy,time
130,49.5,0.1591,0.5031,0.0556,98.68
131,45.4,0.073,0.4929,0.0572,102.51
132,47.6,0.0511,0.5584,0.0553,92.32
133,46.4,0.0504,0.5467,0.0593,88.73
134,45.5,0.1926,0.5457,0.0476,84.15
135,47.1,0.5963,0.4491,0.0529,88.65
136,47.5,0.0395,0.5836,0.0539,91.1
137,47.2,0.0503,0.5912,0.0629,89.95
138,47.0,0.0476,0.515,0.0525,92.3
139,47.5,0.0427,0.5162,0.0546,94.73
140,46.9,0.0474,0.592,0.0557,88.81
141,49.4,0.0502,0.5112,0.0546,94.77
142,45.4,0.0441,0.5029,0.056,89.91
143,48.3,0.0403,0.4944,0.0541,94.55
144,44.8,0.0405,0.5667,0.0637,87.04
145,49.1,0.0483,0.4312,0.0548,97.0
146,46.1,0.0264,0.5666,0.055,84.16
147,47.7,0.0547,0.5153,0.054,88.98
148,48.8,0.0656,0.516,0.0624,92.35
149,48.7,0.0624,0.5219,0.0579,94.42
150,45.0,0.0657,0.4806,0.0569,82.06
151,48.4,0.2816,0.5912,0.0692,92.01
152,43.7,0.1195,0.5575,0.0707,87.5
153,47.4,0.0565,0.5372,0.0623,90.33
154,46.0,0.0458,0.5159,0.0591,88.26
155,45.1,0.0429,0.4697,0.0575,95.67
156,46.6,0.3581,0.4773,0.0623,88.49
157,47.2,0.0814,0.5777,0.0676,95.36
158,44.0,0.0908,0.4875,0.0626,94.0
159,45.7,0.0525,0.5164,0.065,98.89
160,46.9,0.0494,0.5338,0.068,96.87
161,48.0,0.0439,0.4963,0.0648,99.76
162,48.8,0.0926,0.5189,0.0765,105.34
163,49.2,0.0748,0.4391,0.0831,103.64
164,46.1,0.0479,0.4852,0.0704,96.12
165,46.4,0.0341,0.546,0.0679,87.21
166,46.0,0.0884,0.5074,0.0745,81.86
167,44.4,0.0693,0.5092,0.0675,79.61
168,45.4,0.0478,0.5227,0.0778,89.77
169,48.9,0.0503,0.518,0.0802,94.84
170,46.5,0.0924,0.5109,0.0812,97.79
171,44.7,0.0455,0.4276,0.0848,81.57
172,44.5,0.0616,0.4465,0.0866,86.16
173,46.2,0.068,0.5345,0.0786,85.58
174,47.0,0.0631,0.4854,0.0908,87.04
175,45.3,0.0469,0.5473,0.0865,83.4
176,46.7,0.0839,0.5094,0.0916,87.4
177,46.7,0.0637,0.5553,0.0948,85.6
178,48.5,0.0872,0.5195,0.097,90.74
179,47.4,0.0549,0.5522,0.1025,95.17
180,47.3,0.056,0.5134,0.1019,90.15
181,47.6,0.079,0.5611,0.1089,90.67
182,47.5,0.0748,0.5289,0.1146,89.05
183,47.9,0.0587,0.449,0.118,89.89
184,46.8,0.0532,0.513,0.1249,86.57
185,45.1,0.0553,0.5425,0.111,88.01
